.pkg: _optional_hooks> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: get_requires_for_build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
cover: install_package> python -m pip install -chttps://releases.openstack.org/constraints/upper/master --force-reinstall --no-deps /opt/stack/cinder/.tox/.tmp/package/7/cinder-22.1.0.dev478-0.editable-py3-none-any.whl
cover: commands[0]> stestr run
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_valid_lock_volume_2_False [0.988565s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_wrong_size [1.598021s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_raises_db_error [2.069899s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status [1.895641s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_1_force_host_copy [1.136950s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_restoring [0.870655s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_accepted_failure [0.941964s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_fail_replication [1.319042s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_force_detach_instance_attached_volume [1.294159s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_1 [0.121104s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_raises_remote_error [2.555024s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_3___true__ [0.920589s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_migrating [1.182192s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_missing_connector [1.280045s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_accepted_success [0.905227s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_backup_1 [0.841633s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_deleting [0.891409s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_reset_attached_status [1.168024s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_wrong_status [0.908829s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_4_0 [0.900134s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_status_as_non_admin [1.346031s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_detached_status_to_attached [0.951472s] ... ok
{5} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_name_description_with_leading_trailing_spaces_1 [1.927967s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_malformed_reset_status_body [0.885709s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_01 [0.145113s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_3___true__ [1.216701s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_volume [1.206374s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_valid_lock_volume_1_true [0.901597s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_with_invalid_backup [0.891139s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_as_non_admin [1.203984s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success_3_1_3_0 [1.211224s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_2_None [0.929493s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_backup_2 [1.144605s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_force_delete_snapshot [1.169426s] ... ok
{0} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_with_project_1_True [0.739157s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_missing_metadata [1.186380s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_4 [0.130661s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_same_host [1.200303s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_4_0 [1.229813s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_1_lock_volume [0.893094s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success_3_2_3_15 [0.895198s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attach_status [0.896590s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_as_non_admin [1.232972s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_not_supported [0.893664s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attached_status_to_attached [0.886619s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_no_action [0.836543s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_available_to_in_use_on_nonattached_volume_fail [0.887878s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_snapshot_1 [1.122774s] ... ok
{5} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_name_description_with_leading_trailing_spaces_3 [1.510155s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_inuse_force [1.367621s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_invalid_container [0.054424s] ... ok
{0} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_json [0.867982s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_2 [0.134837s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_02 [0.132291s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_migration_invalid_status [0.885228s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_force_delete [0.944113s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_09 [0.126886s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_in_use_to_in_use_fail [0.885101s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success_3_3_3_16 [0.893987s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_valid_lock_volume_3_1 [0.903011s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_bad_mig_status [0.906396s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_inuse_no_force [0.782541s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_fail_host_and_cluster [0.903918s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_status_as_admin [1.190211s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_host_no_exist [0.897329s] ... ok
{1} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_with_user_id_1_True [0.738779s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_from_nova [0.891370s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_07 [0.129475s] ... ok
{0} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_no_body [1.074575s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_invalid_snapshot [1.093219s] ... ok
{5} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_record_volume_id_specified_json [1.143858s] ... ok
{3} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_body_KeyError [0.758462s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_available_to_in_use_on_attached_volume [0.901237s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_2_None [1.216958s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_snapshot_reset_status [1.314071s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_no_mig_status [1.950078s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_no_new_volume [0.840669s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_11 [0.129778s] ... ok
{7} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_list_detail_backups_with_project_2_False [1.093246s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_status_for_missing_volume [0.887715s] ... ok
{0} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_service_down [0.774360s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_04 [0.132318s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_with_InvalidBackup2 [0.788475s] ... ok
{5} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_detail_json [0.779191s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_is_backup_service_enabled [0.054079s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_05 [0.128299s] ... ok
{1} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_snapshot_with_inconsistent_volume [1.134781s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_replication_not_caple_success [1.253397s] ... ok
{15} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_null_validate [1.123144s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_with_snap [1.244484s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_as_non_admin [0.866224s] ... ok
{9} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_with_user_id_2_False [0.739185s] ... ok
{3} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_metadata_null_validate [1.216412s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_10 [0.141085s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_without_host_parameter [0.892122s] ... ok
{7} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_incremental_backup_posix [0.865084s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_12 [0.137308s] ... ok
{13} cinder.tests.unit.api.contrib.test_availability_zones.ControllerTestCase.test_list_hosts [0.040364s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_metadata [1.904378s] ... ok
{1} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_with_VolumeLimitExceeded [0.747539s] ... ok
{15} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_available [0.760363s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attached_status [1.331054s] ... ok
{0} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_json [1.108290s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_detail_with_limit_and_sort_args [1.047902s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success_cluster [0.889121s] ... ok
{5} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_name_specified [1.126934s] ... ok
{2} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_list_detail_backups_with_user_id_2_False [1.031319s] ... ok
{14} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_WithOUT_enabled_backup_service [0.840950s] ... ok
{9} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_list_detail_backups_with_project_1_True [0.732487s] ... ok
{3} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_with_InvalidBackup [0.762062s] ... ok
{3} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_get_available_backup_service_with_same_host [0.051388s] ... ok
{4} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_name_description_with_leading_trailing_spaces_2 [1.945028s] ... ok
{13} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_user_id_before_microversion_v356 [0.751361s] ... ok
{10} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_under_allowed_api_version [1.049252s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_incremental_backup_invalid_no_full [0.804914s] ... ok
{10} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_force_delete_with_not_supported_operation [0.057375s] ... ok
{7} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_delta_backup [1.112309s] ... ok
{15} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_export_record_for_unavailable_backup [0.750146s] ... ok
{15} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_get_available_backup_service [0.057081s] ... ok
{0} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_with_limit [0.771137s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_with_limit_and_marker [0.776081s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_migration_status [0.888498s] ... ok
{2} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_backup_with_missing_backup_services [0.758667s] ... ok
{2} cinder.tests.unit.api.contrib.test_capabilities.CapabilitiesAPITest.test_capabilities_summary [0.041392s] ... ok
{5} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_create_consistencygroup_from_src_cg_create_volume_failed [0.855842s] ... ok
{1} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_with_null_validate [1.099038s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_03 [0.144331s] ... ok
{9} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_invalid_volume_id_format [1.131375s] ... ok
{14} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_delta_1_False [1.149944s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_valid_lock_volume_4_0 [1.242723s] ... ok
{3} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_record_volume_id_exists_deleted [1.106239s] ... ok
{10} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_detail_with_marker [0.785448s] ... ok
{7} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_backup_with_existing_backup_record [0.770795s] ... ok
{4} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_snapshot_json [1.142434s] ... ok
{13} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_service_is_none_and_is_not_working [1.101160s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_with_backup_NotFound [1.100265s] ... ok
{1} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_show_backup_1_False [0.771124s] ... ok
{5} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_create_consistencygroup_from_src_cgsnapshot_create_volume_failed [0.898027s] ... ok
{0} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_volume_id_unspecified [1.070271s] ... ok
{15} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_to_oversized_volume [1.154214s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_with_VolumeNotFound [1.075188s] ... ok
{2} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_create_cgsnapshot_from_empty_consistencygroup [1.090494s] ... ok
{9} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_non_existent_snapshot [0.816125s] ... ok
{6} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_InvalidVolume [1.102093s] ... ok
{3} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_detail_return_metadata [0.781781s] ... ok
{10} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_with_VolumeSizeExceedsAvailableQuota [0.756425s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attach_invalid_status [0.885451s] ... ok
{4} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_VolumeNotFound [0.769998s] ... ok
{13} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_backup_with_wrong_backup_url [0.745734s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_export_record_with_bad_backup_id [0.748141s] ... ok
{7} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_to_undersized_volume [1.080374s] ... ok
{15} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_with_BackupNotFound [0.758578s] ... ok
{15} cinder.tests.unit.api.contrib.test_capabilities.CapabilitiesAPITest.test_get_capabilities_rpc_timeout [0.040243s] ... ok
{0} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_create_consistencygroup_from_src_snap [0.934011s] ... ok
{1} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_create_cgsnapshot_with_no_body [1.066721s] ... ok
{2} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_create_consistencygroup_from_src_cgsnapshot_empty [0.890089s] ... ok
{5} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_create_consistencygroup_from_src_no_source_id [1.078174s] ... ok
{3} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_delete_cgsnapshot_available_used_as_source [0.834635s] ... ok
{6} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_incremental_backup [0.913652s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_snapshot_reset_status_with_invalid_body_1 [0.856598s] ... ok
{14} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_all_backups_detail_json_over_limit [1.794351s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_06 [0.132847s] ... ok
{9} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_incremental_backup_invalid_status [1.135300s] ... ok
{10} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_show_backup_return_metadata [1.102645s] ... ok
{7} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_volume_id_specified_json [0.767545s] ... ok
{13} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_record_with_no_body [1.043163s] ... ok
{4} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_import_record_as_non_admin [1.051466s] ... ok
{12} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_name_volume_id_specified [1.120897s] ... ok
{0} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_list_consistencygroups_with_limit_1_False [0.767025s] ... ok
{2} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_delete_consistencygroup_available_no_force [0.774957s] ... ok
{1} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_show_cgsnapshot [0.847586s] ... ok
{5} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_delete_consistencygroup_available [0.779048s] ... ok
{14} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_detail_with_limit_and_marker [0.761015s] ... ok
{15} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_create_cgsnapshot_json [1.193981s] ... ok
{9} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_delete_backup_error [0.766184s] ... ok
{4} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_detail_with_offset_out_of_range [0.739098s] ... ok
{13} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_restore_backup_with_InvalidBackup [0.769118s] ... ok
{10} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_delete_cgsnapshot_available [0.864597s] ... ok
{3} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_list_cgsnapshots_detail_json [1.139069s] ... ok
{6} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_export_backup_record_id_specified_json [1.097213s] ... ok
{11} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_list_detail_backups_with_user_id_1_True [1.056371s] ... ok
{12} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_create_with_invalid_cgsnapshot [0.805734s] ... ok
{8} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_show_incremental_backup_1_False [2.467641s] ... ok
{1} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_create_consistencygroup_failed_no_volume_type [0.743284s] ... ok
{14} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_list_backups_with_offset_out_of_range [0.722972s] ... ok
{0} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_list_consistencygroups_with_limit_and_offset_1_False [1.064719s] ... ok
{15} cinder.tests.unit.api.contrib.test_consistencygroups.ConsistencyGroupsAPITestCase.test_list_consistencygroups_with_filter_2_True [0.771705s] ... ok
{9} cinder.tests.unit.api.contrib.test_cgsnapshots.CgsnapshotsAPITestCase.test_delete_cgsnapshot_with_cgsnapshot_NotFound [0.735066s] ... ok
